file,size,claims,canonical,ambiguous,excerpt
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,no,8-inch round comfortably serves 15 to 20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,no,8-inch cake serves roughly 15–20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,no,8-inch round comfortably serves 15–20 people
blog/eggless-cake-office-birthday-sydney.html,"8""",15-20,12-14,no,8-inch round comfortably serves 15 to 20 people
blog/eggless-cake-ordering-mistakes.html,"8""",15-20,12-14,no,8-inch round serves 15-20 guests
blog/eggless-cake-ordering-mistakes.html,"8""",15-20,12-14,no,8-inch round serves 15-20 guests
blog/eggless-cake-small-gatherings-sydney.html,"6""",2-8,6-8,no,6 inch sizes serve 2-8 people
blog/eggless-cake-small-gatherings-sydney.html,"6""",2-8,6-8,YES,"6-inch mini cakes in all 15 eggless flavours, sized properly for 2 to 8 people"
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,no,6-inch cakes suit 5-8 people
blog/eggless-cake-small-gatherings-sydney.html,"8""",15-20,12-14,no,8-inch cake serves roughly 15-20 people
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,no,6-inch round cake steps up to 5-8 people
blog/eggless-cake-small-gatherings-sydney.html,"12""",2-4,25-30,no,"12"" font-weight=""600"" fill=""#2C1A0E"">2-4 guests"
blog/eggless-cake-small-gatherings-sydney.html,"12""",5-8,25-30,no,"12"" font-weight=""600"" fill=""#2C1A0E"">5-8 guests"
blog/eggless-cake-small-gatherings-sydney.html,"12""",15-20,25-30,no,"12"" font-weight=""600"" fill=""#2C1A0E"">15-20 guests"
blog/eggless-cake-small-gatherings-sydney.html,"6""",5-8,6-8,no,6-inch for 5-8 people
blog/eggless-cake-sydney.html,"8""",16-24,12-14,no,8-inch round serves roughly 16–24 guests
blog/eggless-cake-vs-cheesecake-sydney.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cake-vs-mud-cake.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cake-vs-sponge-cake.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,no,8-inch round cake typically serves 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,no,8-inch cake serves 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,no,8-inch round serves roughly 15-20 guests
blog/eggless-cake-vs-tart-sydney.html,"8""",15-20,12-14,no,8-inch round cake typically serves 15-20 guests
blog/eggless-cakes-auburn.html,"6""",30-35,6-8,YES,"6-inch cake feeds around 8–10, an 8-inch around 18–20, and a 10-inch around 30–35 people"
blog/eggless-cakes-baby-shower-sydney.html,"8""",20-30,12-14,no,8-inch round is ideal. For 20–30 guests
blog/eggless-cakes-baby-shower-sydney.html,"10""",40-60,20-22,YES,"10-inch, and for 40–60 guests"
blog/eggless-cakes-baulkham-hills.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30–40 guests
blog/eggless-cakes-beaumont-hills.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30–40 guests
blog/eggless-cakes-beecroft.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-birrong.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30–40 guests
blog/eggless-cakes-blacktown.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-bonnyrigg.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cakes-carlingford.html,"8""",30-40,12-14,no,8-inch round is typically the right call. For 30–40 guests
blog/eggless-cakes-cherrybrook.html,"8""",30-40,12-14,no,8-inch round usually suffices; for 30–40 guests
blog/eggless-cakes-christmas-sydney.html,"8""",30-40,12-14,YES,"8-inch is usually right, 30–40 guests"
blog/eggless-cakes-christmas-sydney.html,"6""",8-10,6-8,no,6-inch round serves roughly 8–10 people
blog/eggless-cakes-clyde.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-constitution-hill.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-dean-park.html,"8""",30-40,12-14,no,8-inch round typically suits a party of 20 kids. For 30–40 guests
blog/eggless-cakes-doonside.html,"8""",30-40,12-14,no,8-inch round usually works; for 30–40 guests
blog/eggless-cakes-dundas-valley.html,"8""",16-20,12-14,no,8-inch round cake serves 16–20 guests
blog/eggless-cakes-dussehra-sydney.html,"8""",25-35,12-14,no,8-inch round is typically right. Larger family events of 25–35 guests
blog/eggless-cakes-dussehra-sydney.html,"8""",10-15,12-14,no,8-inch round serves 10–15 guests
blog/eggless-cakes-dussehra-sydney.html,"10""",18-25,20-22,no,10-inch serves 18–25 guests
blog/eggless-cakes-easter-sydney.html,"8""",30-40,12-14,YES,"8-inch is usually right, 30–40 guests"
blog/eggless-cakes-easter-sydney.html,"6""",8-10,6-8,no,6-inch round serves roughly 8–10 people
blog/eggless-cakes-eid-milad-un-nabi-sydney.html,"8""",10-15,12-14,no,8-inch and 10-inch combination is typically right. For a smaller family dinner of 10-15 guests
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,no,8-inch round serves roughly 16 to 24 guests
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,no,8-inch round serves roughly 16–24 guests
blog/eggless-cakes-eid-sydney.html,"8""",16-24,12-14,no,8-inch round serves roughly 16–24 guests
blog/eggless-cakes-epping.html,"8""",30-40,12-14,no,8-inch round serves well. For 30–40 guests
blog/eggless-cakes-ermington.html,"6""",10-14,6-8,no,6-inch round serves approximately 10–14 people
blog/eggless-cakes-ermington.html,"8""",20-25,12-14,no,8-inch serves approximately 20–25 guests
blog/eggless-cakes-ermington.html,"10""",30-40,20-22,no,10-inch serves approximately 30–40 guests
blog/eggless-cakes-fairfield.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cakes-harris-park.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-holi-sydney.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-karwa-chauth-sydney.html,"8""",30-50,12-14,no,8-inch round is typically sufficient. For 30–50 guests
blog/eggless-cakes-kings-langley.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-lalor-park.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-lidcombe.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-lunar-new-year-sydney.html,"8""",30-40,12-14,no,8-inch round usually fits; for 30–40 guests
blog/eggless-cakes-marayong.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-marsfield.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-mays-hill.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-mcgraths-hill.html,"8""",30-40,12-14,no,8-inch round usually works. For 30-40 guests
blog/eggless-cakes-mehendi-sydney.html,"12""",20-30,25-30,YES,"12 inches, with custom tiered arrangements on request. For a Mehendi of 20–30 guests"
blog/eggless-cakes-mehendi-sydney.html,"10""",50-80,20-22,no,10-inch or two 8-inch cakes are typically the right call. For larger ceremonies of 50–80 guests
blog/eggless-cakes-merrylands-west.html,"8""",30-40,12-14,no,8-inch round usually works; for 30–40 guests
blog/eggless-cakes-minchinbury.html,"8""",30-40,12-14,no,8-inch round is typically enough. For 30–40 guests
blog/eggless-cakes-mount-druitt.html,"8""",30-40,12-14,no,8-inch round usually works. For 30–40 guests
blog/eggless-cakes-north-kellyville.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30-40 guests
blog/eggless-cakes-northmead.html,"8""",30-40,12-14,no,8-inch round usually fits; for 30–40 guests
blog/eggless-cakes-norwest.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-old-toongabbie.html,"8""",15-20,12-14,no,8-inch round serves 15–20 guests
blog/eggless-cakes-pennant-hills.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-plumpton.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30–40 guests
blog/eggless-cakes-prospect.html,"8""",35-50,12-14,no,8-inch round is typically plenty. For 35–50 guests
blog/eggless-cakes-quakers-hill.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-raksha-bandhan-sydney.html,"8""",12-15,12-14,no,8-inch round (roughly 12–15 serves
blog/eggless-cakes-ramadan-sydney.html,"10""",30-50,20-22,no,10-inch or 12-inch cakes for 30–50 guests
blog/eggless-cakes-ramadan-sydney.html,"10""",6-8,20-22,YES,"10"" fill=""rgba(44,26,14,0.55)"">6–8 guests"
blog/eggless-cakes-ramadan-sydney.html,"10""",15-20,20-22,YES,"10"" fill=""rgba(44,26,14,0.55)"">15–20 guests"
blog/eggless-cakes-ramadan-sydney.html,"10""",25-30,20-22,YES,"10"" fill=""rgba(44,26,14,0.55)"">25–30 guests"
blog/eggless-cakes-ramadan-sydney.html,"10""",35-40,20-22,YES,"10"" fill=""rgba(44,26,14,0.55)"">35–40 guests"
blog/eggless-cakes-ramadan-sydney.html,"10""",50-55,20-22,YES,"10"" fill=""rgba(44,26,14,0.55)"">50–55 guests"
blog/eggless-cakes-ramadan-sydney.html,"10""",25-40,20-22,no,10-inch or 12-inch round is usually appropriate for 25–40 guests
blog/eggless-cakes-rhodes.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-richmond.html,"8""",30-40,12-14,YES,"8-inch round suits about 20 guests, while 30–40 guests"
blog/eggless-cakes-rouse-hill.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-rydalmere.html,"8""",30-40,12-14,no,8-inch round is usually right. For 30–40 guests
blog/eggless-cakes-schofields.html,"6""",15-20,6-8,YES,"6-inch for intimate gatherings, 8-inch for a typical birthday party of 15–20 guests"
blog/eggless-cakes-seven-hills.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-silverwater.html,"8""",30-40,12-14,no,8-inch round is usually right. For a family party of 30–40 guests
blog/eggless-cakes-smithfield.html,"8""",30-40,12-14,no,8-inch round is typically right; for 30–40 guests
blog/eggless-cakes-strathfield.html,"8""",30-40,12-14,no,8-inch round is typically the right call. For 30–40 guests
blog/eggless-cakes-villawood.html,"8""",30-40,12-14,no,8-inch round is typically enough. For 30–40 guests
blog/eggless-cakes-wentworth-point.html,"8""",30-40,12-14,no,8-inch round typically works. For 30–40 guests
blog/eggless-cakes-west-pennant-hills.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-cakes-west-ryde.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-westmead.html,"8""",30-40,12-14,no,8-inch round is usually right; for 30–40 guests
blog/eggless-cakes-woodville.html,"8""",30-40,12-14,no,8-inch round is typically right. For 30–40 guests
blog/eggless-chocolate-cake-sydney.html,"6""",8-10,6-8,no,6-inch round serves about 8-10 people
blog/eggless-red-velvet-cake-sydney.html,"6""",8-10,6-8,no,6-inch round serves roughly 8-10 people
blog/eggless-red-velvet-cake-sydney.html,"8""",30-40,12-14,YES,"8-inch serves 15-20, and a 10-inch comfortably covers 30-40 guests"
blog/farewell-cake-sydney.html,"8""",15-20,12-14,no,8-inch round cake from Num Num's Bakery serves roughly 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,no,8-inch round serves 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,no,8-inch round (serving 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,no,8-inch for 15–20 people
blog/farewell-cake-sydney.html,"8""",15-20,12-14,no,8-inch round cake serves roughly 15–20 people
blog/grand-final-party-cake-sydney.html,"8""",25-40,12-14,no,8-inch round typically works. For 25-40 guests
blog/grand-final-party-cake-sydney.html,"8""",25-40,12-14,no,8-inch round works well. For 25–40 guests
blog/grand-final-party-cake-sydney.html,"8""",25-40,12-14,no,8-inch round typically works well. For 25–40 guests
blog/how-to-design-birthday-cake-sydney.html,"6""",8-10,6-8,no,6-inch (8–10 serves
blog/how-to-design-birthday-cake-sydney.html,"8""",12-16,12-14,no,8-inch (12–16 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,no,10-inch (20–25 serves
blog/how-to-design-birthday-cake-sydney.html,"12""",30-35,25-30,no,12-inch (30–35 serves
blog/how-to-design-birthday-cake-sydney.html,"14""",40-50,40-45,no,14-inch (40–50 serves
blog/how-to-design-birthday-cake-sydney.html,"16""",55-65,50-55,no,16-inch (55–65 serves
blog/how-to-design-birthday-cake-sydney.html,"6""",8-10,6-8,no,6-inch — 8 to 10 serves
blog/how-to-design-birthday-cake-sydney.html,"8""",12-16,12-14,no,8-inch — 12 to 16 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,no,10-inch — 20 to 25 serves
blog/how-to-design-birthday-cake-sydney.html,"12""",30-35,25-30,no,12-inch — 30 to 35 serves
blog/how-to-design-birthday-cake-sydney.html,"14""",40-50,40-45,no,14-inch — 40 to 50 serves
blog/how-to-design-birthday-cake-sydney.html,"16""",55-65,50-55,no,16-inch — 55 to 65 serves
blog/how-to-design-birthday-cake-sydney.html,"10""",20-25,20-22,no,10-inch round cake comfortably serves 20–25 people
blog/hsc-results-day-cake-sydney.html,"8""",10-20,12-14,no,8-inch cake suits most results-day gatherings of 10 to 20 people
blog/hsc-results-day-cake-sydney.html,"8""",15-20,12-14,no,8-inch round comfortably serves 15 to 20 people
blog/index.html,"6""",2-8,6-8,no,6-inch eggless cakes for 2-8 people
blog/luxury-cake-sydney.html,"10""",35-40,20-22,YES,"10""+8"" serves approximately 35–40 guests"
blog/reunion-cake-sydney.html,"8""",15-20,12-14,no,8-inch round serves 15-20 guests
blog/reunion-cake-sydney.html,"8""",15-20,12-14,no,8-inch round serves 15-20 guests
blog/reunion-cake-sydney.html,"8""",15-20,12-14,no,8-inch round serves 15-20 guests
